,label,variance
0,D,58.32304415697408
1,S,51.975051870374465
2,S,2.060966335332832
3,D,26.406860011828414
4,S,4.268723556932154
5,A,14.710332246526912
6,S,1.119893385921258
7,C,17.950276791825786
8,S,2.1387320574010347
9,C,53.993532617182495
10,S,4.629524162551735
11,D,48.33559863096831
12,S,2.5644458647038286
13,D,24.101204553559782
14,S,2.833160125718133
15,D,26.72325021175684
16,S,2.296595065279915
17,D,31.48618775184629
18,S,8.902826055339949
19,D,35.95914202990216
20,D,39.08526599281747
21,S,8.196371647693708
22,D,33.73963852581967
23,S,0.38161050535462787
24,A,7.2268581196217285
25,S,8.324694675118913
26,D,21.152335185167697
27,S,1.6295193909087229
28,D,13.450108861166349
29,D,10.161457397170643
30,S,0.7073102134719196
31,A,1.035877855251336
32,S,1.1171094828164048
33,D,68.17345269164419
34,S,2.490945293592679
35,D,35.5646731932431
36,S,2.5493271137764735
37,D,26.817656827166207
38,S,0.6769991258040564
39,D,31.458339360480192
40,S,1.2324845154559068
41,D,47.97945433421837
42,S,0.7379331751658392
43,D,34.807567631158534
44,S,3.3903698375556917
45,D,27.62430446073601
46,A,1.0830663447006914
47,S,1.1670343825517266
48,D,50.1915089484417
49,S,2.0983475562863294
50,D,29.609098636533812
51,S,1.648562860001588
52,D,31.889895527443855
53,S,1.3834843428407992
54,D,30.439845309072822
55,D,9.281451871010594
56,D,19.311067329911868
57,D,33.25751815639896
58,S,0.4999071565795148
59,D,14.187400127369628
60,S,2.2572102041036417
61,D,2.012328200396783
62,S,1.6293265734338447
63,D,10.599775349774404
64,S,2.188545125833577
65,D,40.538601120669675
66,S,1.5588097162704366
67,F,48.65346857907874
68,S,9.607663985842358
69,D,41.79746656681726
70,S,3.222907657681305
71,D,40.198214937616804
72,S,1.2562452134346815
73,D,27.269335153206985
74,S,2.6336088907110544
75,D,26.91925433449185
76,S,1.8922759447397766
77,A,32.36175819303329
78,S,2.417671371726879
79,A,13.377368636259314
80,D,5.172826061940399
81,A,7.489525194767877
82,S,1.8744263616241004
83,A,13.208667063508413
84,S,2.3351095279398164
85,D,40.625879144707234
86,S,5.6569576953683285
87,D,38.12876632275685
88,D,41.993032113857346
89,D,27.804266443756674
90,D,12.03196334357762
91,D,51.30173028737211
92,S,2.0380929567761967
93,D,43.25475579707199
94,S,5.016697188357832
95,D,28.44974050196709
96,S,1.0606719029448428
97,D,45.61040733938696
98,A,3.115323299893851
99,S,6.8385178792262336
100,D,37.049790277863934
101,S,0.8209626750699516
102,D,29.405923038967977
103,S,3.0124736043472193
104,C,3.3160714885252722
105,S,2.8658619687743343
106,D,41.0891957369131
107,S,1.8109385334379267
108,D,39.06823594080642
109,S,2.6921899632048194
110,D,42.64296296377043
111,S,0.12214704457024965
112,D,19.074333178414644
113,S,6.973592588353257
114,D,11.634949290717369
115,S,1.5874685487669098
116,D,23.295775238496443
117,S,4.3644310452777315
118,D,41.76479776741924
119,S,1.448918692067744
120,D,13.237876025668104
121,S,2.9648480879030004
122,A,3.9602201686504
123,S,1.805859005287427
124,D,34.51470208749677
125,S,1.9634514900280204
126,D,34.345977854312345
127,S,1.0192518894496938
128,A,3.364418084442285
129,S,2.0611314893547363
130,D,31.444241666227086
131,S,3.663255188250625
132,D,21.9063533657065
133,S,4.968978788409634
134,D,45.86249003159746
135,S,1.8012730908027408
136,D,32.00021410927235
137,S,1.729761468293596
138,D,33.66146459574518
139,S,2.807211262802251
140,D,34.1345526784884
141,S,3.060125340705645
142,D,26.961793839672804
143,S,1.8812396899873332
144,D,19.943465069279508
145,S,1.2109381980603915
146,D,11.229808672829757
147,S,0.747143343931175
148,D,3.5560929120950897
149,S,0.9092095791981188
150,D,40.8894844666111
151,S,3.2872081472700674
152,D,53.47199898195896
153,S,1.9705545726786788
154,D,35.80070564493268
155,S,1.875389413202449
156,D,10.270836510042464
157,S,2.866641076232801
158,A,2.8747129281664563
159,S,2.1128933456011656
160,D,70.97466312782822
161,S,0.7037380306773564
162,D,76.9635570556332
163,S,0.855529623879618
164,D,37.257917042142374
165,S,2.6953627404071234
166,D,46.41709673315768
167,S,3.735797500812296
168,D,10.461256545343518
169,S,1.4551992713746282
170,A,0.6309831472327289
171,S,3.7737587591643273
172,D,33.91931807057782
173,S,2.955353933402364
174,D,44.52909660404398
175,S,1.764817477977672
176,D,36.683826694150106
177,S,11.54246125735288
178,D,40.26016607115655
179,S,1.4619386073624268
180,D,40.92827838597628
181,S,2.0544923884569353
182,D,18.205744464295655
183,S,1.8822754367482917
184,D,40.67809307015196
185,S,1.1764740613582207
186,D,70.49105351160159
187,S,4.322974000897799
188,D,25.529096552558187
189,S,1.2013521988419178
190,D,19.11047788901415
191,S,1.6833928369095976
192,D,37.828262553445796
193,S,0.9744746030636653
194,D,30.40055884104291
195,S,1.3700346411919606
196,D,20.382037634918937
197,S,2.619426153089362
198,D,14.82191279522624
199,S,1.3342421676120728
200,D,31.91900642712651
201,S,1.330390913016002
202,D,41.07557767442816
203,S,3.097123220866209
204,D,21.532381057655872
205,S,3.624529841153455
206,D,34.432006316766916
207,S,2.7629436919395363
208,D,28.492579191043248
209,S,0.9508427474523851
210,D,40.74896803903584
211,S,3.083280432457573
212,D,30.252453817418708
213,S,1.2462417442222573
214,D,32.56189302599384
215,S,4.763933041991121
216,D,14.271144690723935
217,S,2.9601075805278807
218,D,25.540976147420526
219,S,9.474597391330567
220,D,30.819289833414913
221,S,4.566501168809917
222,D,31.639173198706878
223,S,3.2741690256744085
224,D,10.547957009639129
225,S,1.1452160196274748
