,Start,End,Peak Level,Dynamic Range,RMS Level,RMS Variance,Label
113,54.598844,54.801510666666665,0.343571275472641,0.3435562551021576,0.0003931983484078267,3.0453704589615316e-09,H
114,54.848844,55.051510666666665,0.3641727864742279,0.36416885256767273,0.00034134224955894936,3.0251851026700134e-09,H
115,55.098844,55.301510666666665,0.39766889810562134,0.3976617157459259,0.00035161326501852673,4.027933776550656e-09,H
116,55.348844,55.551510666666665,0.30475685000419617,0.3047412037849426,0.00034404007366277655,5.506095659198084e-09,H
117,55.598844,55.801510666666665,0.25328144431114197,0.2532693147659302,0.00029113497269570043,3.1663749076424354e-09,H
118,55.848844,56.051510666666665,0.3209913671016693,0.3209853768348694,0.000325477344163763,1.703208470155933e-09,H
119,56.098844,56.301510666666665,0.28707727789878845,0.2870683968067169,0.000270085356316033,5.137399371133092e-10,H
120,56.348844,56.551510666666665,0.2940954267978668,0.2940819263458252,0.0002929753353646483,1.54557644919846e-09,H
121,56.598844,56.801510666666665,0.2553650438785553,0.25535276532173157,0.00029076928058813543,1.7590324118328245e-09,H
122,56.848844,57.051510666666665,0.34895753860473633,0.3489537537097931,0.00030390379798997126,1.5397320755054494e-09,H
123,57.098844,57.301510666666665,0.27906525135040283,0.2790567874908447,0.0002753648780671275,3.354105857312844e-10,H
124,57.348844,57.551510666666665,0.2617550194263458,0.2617502808570862,0.0002675214253537985,3.3628937332194723e-10,H
125,57.598844,57.801510666666665,0.2564783990383148,0.25646817684173584,0.00025855620985740696,2.6391580707215716e-10,H
126,57.848844,58.051510666666665,0.2509990930557251,0.2509812116622925,0.0002732446419714704,2.6673483205635097e-10,H
127,58.098844,58.301510666666665,0.5699769854545593,0.5699504017829895,0.00064670811430155,4.536789830331272e-08,H
128,58.348844,58.551510666666665,0.2371721863746643,0.23715369403362274,0.0002807473310467388,1.0621128056837605e-09,H
129,58.598844,58.801510666666665,0.25969797372817993,0.2596690356731415,0.0002937016870814073,2.5170701447645955e-10,S
130,58.848844,59.051510666666665,0.25979703664779663,0.2597750127315521,0.0002652934993073961,3.039612190123545e-10,H
131,59.098844,59.301510666666665,0.2502528429031372,0.2502405345439911,0.0002522626911283296,1.8614941338053605e-10,S
132,59.348844,59.551510666666665,0.2805005609989166,0.28049182891845703,0.00026766997074049065,7.478967594669475e-10,S
133,59.598844,59.801510666666665,0.35393407940864563,0.35392090678215027,0.0002871050984122244,1.1847736561068269e-09,S
134,59.848844,60.051510666666665,0.24605700373649597,0.2460446059703827,0.00026267181321270027,3.345787253620702e-10,S
135,60.098844,60.301510666666665,0.22180935740470886,0.2217937856912613,0.0002472199421725964,1.6387573958973445e-10,S
136,60.348844,60.551510666666665,0.2699919044971466,0.2699815034866333,0.0002627528662434611,2.569588636116841e-10,S
137,60.598844,60.801510666666665,3.4320619106292725,3.4320390224456787,0.0034336269806560225,3.9642583625819824e-07,S
